Codigo   Nome
1856     Obras Civis - Diques e Ensecadeiras                                                                                     
1864     Obras Civis - Dragagem e Derrocagem                                                                                     
1872     Obras Civis de Saneamento - Captação, Adução e Distribuição de Água e Esgoto Sanitário                                  
1880     Obras Civis de Saneamento - Tratamento de Água, Esgoto  Sanitário e Despejo Industrial                                  
1899     Obras Civis de Saneamento - Sistema de Drenagem Pluvial e Industrial                                                    
1902     Obras Civis - Perfuração de Poços                                                                                       
1910     Obras Civis - Subestações Energia Elétrica (Obras Civis)                                                                
1929     Obras Civis de Linhas de Transmissão de Energia Elétrica (Obras Civis)                                                  
1937     Obras Civis de Linhas de Distribuição de Energia Elétrica (Obras Civis)                                                 
1945     Obras Civis de Redes de Telecomunicações (Obras Civis)                                                                  
1953     Obras Civis de Jardins e Áreas Gramadas                                                                                 
1961     Instalação e Montagem Equipamentos de Caldeiraria                                                                       
1970     Instalação / Montagem / Manutenção - Equipamentos Elétricos                                                             
1988     Manutenção / Instalação / Montagem / Ampliação - Equipamentos de Telecomunicações                                       
1996     Manutenção / Instalação e Montagem de Intrumentação  de Controle                                                        
2003     Instalação e Montagem de Sistemas de Tubulações Industriais (Instalacoes e Montagem)                                    
2011     Instalação e Montagem de Sistemas - Proteção Contra Incêndio (Instalacoes e Montagem)                                   
2020     Ar Condicionado - Instalação e Montagem ( Parede / Sistemas) (Instalacoes e Montagem)                                   
2038     Instalação e Montagem - Sistemas Ventilação e Exaustão  Mecânica (Instalacoes e Montagem)                               
2046     Instalação e Montagem de Sistemas de Aquecimento (Instalacoes e Montagem)                                               
2054     Instalação e Montagem de Sistemas de Refrigeração (Instalacoes e Montagem)                                              
2062     Instalação e Montagem de Sistemas de Sinalização Ferroviária (Instalacoes e Montagem)                                   
2070     Instalação e Montagem de Sistemas de Sinalização Marítima (Instalacoes e Montagem)                                      
2089     Instalação e Montagem de Sistemas de Sinalização Rodoviária (Instalacoes e Montagem)                                    
2097     Instalação e Montagem de Sistemas de Sinalização Aérea (Instalacoes e Montagem)                                         
2135     Instalação e Manutencao  Sistemas de Aterramento e Proteção Contra Descargás Atmosfericas                               
2143     Instalação e Montagem de Redes Aéreas - Telecomunicações (Instalacoes e Montagem)                                       
2151     Instalação e Montagem Redes Subterrâneas - Telecomunicações (Instalacoes e Montagem)                                    
2160     Instalação e Montagem Redes Subaquáticas - Telecomunicações (Instalacoes e Montagem)                                    
2178     Instalação e Montagem para Equipamentos de Processamento de Dados                                                       
2186     Instalação e Montagem de Cozinhas Industriais                                                                           
2194     Instalação e Montagem de Oficinas                                                                                       
2208     Instalação e Montagem de Laboratórios                                                                                   
2216     Instalação e Montagem de Instalações Frigoríficas                                                                       
2224     Instalação e Montagem - Galpões / Estruturas Metálicas                                                                  
2232     Instalação e Montagem de Isolamento Térmico                                                                             
2240     Instalação e Montagem de Isolamento Acústico (Instalacoes e Montagem)                                                   
2259     Instalação e Montagem de Construção Naval                                                                               
2267     Instalação e Montagem de Equipamentos Mecânicos/Eletromecânicos                                                         
2275     Manutenção de Turbinas a Vapor                                                                                          
2283     Manutenção de Turbinas a Gás                                                                                            
2291     Manutenção de Hidrogeradores                                                                                            
2305     MANUTENçãO GERADOR - VAPOR / GASOLINA                                                                                   
2313     Manutenção de Compressores                                                                                              
2321     Manutenção de Motores a Combustão                                                                                       
2330     Manutenção de Bombas e Moto-Bombas                                                                                      
2348     Manutenção de Trocadores de Calor                                                                                       
2356     Manutenção de Grupos Diesel Gerador de Emergência                                                                       
2364     Manutenção de Caldeiras e Estufas                                                                                       
2372     Manutenção de Pontes e Pórticos Rolantes                                                                                
2380     Manutenção de Talhas e Monovias                                                                                         
2399     Manutenção de Equipamentos Hidromecânicos                                                                               
2402     Manutenção de Válvulas e Atuadores                                                                                      
2410     Manutenção de Agitadores Mecânicos Industriais                                                                          
2429     Manutenção de Redutores de Velocidade                                                                                   
2437     Manutenção de Equipamentos de Britagem e Moagem                                                                         
2445     Manutenção de Correias Transportadoras                                                                                  
2453     Manutenção de Máquinas / Portáteis / Operatrizes                                                                        
2461     Manutenção de Autoclaves                                                                                                
2470     Manutenção de Pré - Aquecedores / Aquecedores                                                                           
2488     Manutenção de Separadores de Sedimentos                                                                                 
2496     Manutenção de Silos e Calhas                                                                                            
2500     Manutenção de Tanques e Esferas de Armazenamento                                                                        
2518     Manutenção de Vasos de Pressão                                                                                          
2526     Manutenção de Condutos Forçados                                                                                         
2534     Manutenção de Fornos e Fornalhas                                                                                        
2542     Manutenção de Peneiras Industriais                                                                                      
2569     Manutenção de Reatores                                                                                                  
2577     Manutenção de Barramentos                                                                                               
2585     Manutenção de Paineis Elétricos                                                                                         
2615     Manutenção de Motores Elétricos                                                                                         
2623     Manutenção / Reparo - Bateria                                                                                           
2631     Manutenção de Capacitores                                                                                               
2640     Manutenção de Compensadores                                                                                             
2658     Manutenção / Instalação - No Break                                                                                      
2666     Manutenção de Equipamentos de Comutação Telefônica                                                                      
2674     Manutenção de Equipamentos de Comutação Telegráfica                                                                     
2682     Manutenção de Equipamentos de Transmissão Multiplex Telefônica                                                          
2690     Manutenção de Equipamentos de Transmissão Multiplex  Telegráfica                                                        
2704     Instalação / Manutenção de Equipamentos de Rádio / Antena / Agulha Giroscópica                                          
2712     Manutenção de Equipamentos de Comunicação de Dados                                                                      
2720     Manutenção de Instrumentos Elétricos                                                                                    
2739     Instalação/Manutenção- Equipamento Eletrônico/Eletromecânico                                                            
2747     Manutenção de Instrumentos Pneumáticos                                                                                  
2755     Manutenção de Sistemas de Tubulações Industriais e Caldeira-ria                                                         
2763     Manutenção de Sistemas de Proteção Contra Incêndio (Manutencao Industrial)                                              
2771     Ar Condicionado - Manutenção de Sistemas / Limpeza (Manutencao Industrial)                                              
2780     Manutenção de Sistemas de Ventilação e Exaustor                                                                         
2798     Manutenção de Sistemas de Aquecimento                                                                                   
2801     Manutenção de Sistemas de Refrigeração (Manutencao Industrial)                                                          
2810     Manutenção de Sistemas de Sinalização Ferroviária (Manutencao Industrial)                                               
2828     Manutenção de Sistemas de Sinalização Marítima (Manutencao Industrial)                                                  
2836     Instalação / Manutenção de Sistema de Sinalização Trânsito   Vertical / Horizontal                                      
2844     Manutenção de Sistemas de Sinalização Aérea (Manutencao Industrial)                                                     
2879     MANUTENÇÃO DE LINHAS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA                                                                
2887     Manutenção de Redes Aéreas - Telecomunicações (Manutencao Industrial)                                                   
2895     Manutenção de Redes Subterrâneas de Telecomunicações (Manutencao Industrial)                                            
2909     Manutenção de Redes Subaquáticas - Telecomunicações (Manutencao Industrial)                                             
2917     Manutenção de Isolamento Térmico (Manutencao Industrial)                                                                
2925     Manutenção de Isolamento Acústico (Manutencao Industrial)                                                               
2933     Limpeza Química de Equipamentos e Tubulações                                                                            
2941     Limpeza de Equipamentos e Tubulações por Hidrojateamento                                                                
2950     Limpeza Mecânica de Equipamentos e Tubulações                                                                           
2968     Manutenção em Equipamento de Injeção em Termoplástico                                                                   
2976     Manutenção em Equipamento de Injeção em Zamak                                                                           
2984     Manutenção em Equipamento de Moldagem em Resinas Termofixas                                                             
2992     Manutenção em Equipamento de Moldagem em Fibra de Vidro                                                                 
3000     Manutenção em Equipamento de Moldagem em Elastômero                                                                     
3018     Manutenção em Equipamento de Extrusão em Elastômero                                                                     
3026     Manutenção de Forjas                                                                                                    
3034     Manutenção em Equipamento de Fundição em Ferro Fundido                                                                  
3042     Manutenção em Equipamento de Fundição em Aço Carbono                                                                    
3050     Manutenção em Equipamento de Fundição em Aço Inox                                                                       
3069     Manutenção em Equipamento de Fundição em Alumínio                                                                       
3077     Manutenção em Equipamento de Fundição em Cobre                                                                          
3085     Manutenção em Equipamento de Estamparia em Metal                                                                        
3093     Manutenção em Equipamento de Serralharia                                                                                
3107     Manutenção de Caldeiraria                                                                                               
3115     Manutenção de Usinagem                                                                                                  
3123     Manutenção em Equipamento de Soldagem                                                                                   
3131     Manutenção em Oficina de Carpintaria e Marcenaria                                                                       
3140     Manutenção de Vias Férreas (Via Permanente)                                                                             
3158     Manutenção e Reparo em Industria Naval (Manutencao Industrial)                                                          
3166     Manutenção de Turbinas Hidráulicas / Termelétrica                                                                       
3174     Transporte Aéreo por Helicóptero / AVIAO                                                                                
3182     Transporte Marítimo e Fluvial de Pessoal / Carga                                                                        
3190     Transporte Marítimo e Fluvial de Carga Líquida                                                                          
3204     Transporte Marítimo e Fluvial de Carga Seca                                                                             
3212     Transporte de Mudança - Local                                                                                           
3220     Transporte de Mudança - Interestadual                                                                                   
3239     Transporte Rodoviário - Pessoal por Automóveis                                                                          
3263     Transporte Rodoviário - Cargas / Encomendas                                                                             
3271     Transporte Rodoviário / Aeroviário - Valores                                                                            
3280     Transporte Rodoviário - Materiais Embalados, Soltos e  a Granel                                                         
3298     Transporte Rodoviário - Produtos Siderúrgicos                                                                           
3301     Transporte Rodoviário - Granéis Líquidos                                                                                
3336     Transporte Rodoviário - Explosivos                                                                                      
3344     Transporte Ferroviário de Pessoal                                                                                       
3352     Transporte Ferroviário de Carga                                                                                         
3360     Transporte Intermodal / Multimodal                                                                                      
3417     Desinsetização / Desratização / Descorpinização                                                                         
3425     Conservação de Cabines e Abrigos                                                                                        
3433     Confecção / Colocação / Remanejamento / Manutenção- Divisór ia / módulo                                                 
3450     Manutenção de Máquinas de Escrever                                                                                      
3468     Manutenção de Máquinas de Calcular                                                                                      
3476     Manutenção de Fac-Símile                                                                                                
3484     Manutenção de Telex                                                                                                     
3492     Ar Condicionado - Manutenção de Aparelhos de Parede                                                                     
3506     Manutenção de Geladeiras e Bebedouros                                                                                   
3514     Manutenção de Relógios de Ponto                                                                                         
3522     Manutenção de Equipamentos de Microfilmagem                                                                             
3530     Informática - Manutenção de computadores                                                                                
3557     Instalação / Manutenção - Elevadores, Escadas Rolantes,  Monta - Cargas / Plataforma                                    
3565     Manutenção de Veículos Leves e Pesados                                                                                  
3573     Manutenção de Veículos Pesados                                                                                          
3581     Manutenção de Aviões                                                                                                    
3590     Manutenção de Helicópteros                                                                                              
