Codigo   Nome                                                                                                Classe
99       CANETA ESFEROGRÁFICA                                                                                7510
100      ELO FUSÍVEL                                                                                         5920
101      CONECTOR ESTRIBO TIPO CUNHA                                                                         5935
102      ISOLADOR SUPORTE                                                                                    5970
103      GRAMPO LINHA VIVA                                                                                   5935
104      BOBINA MÁQUINA CALCULAR                                                                             7510
105      PAPEL SUPER BOND                                                                                    7510
106      PORTA-FITA ADESIVA                                                                                  7510
107      PRENDEDOR PAPEL                                                                                     7510
108      PINCEL ATÔMICO                                                                                      7510
109      PERCEVEJO                                                                                           7510
110      FICHA                                                                                               7540
111      BASE FITA ADESIVA                                                                                   7520
112      TUBO PORTA-DOCUMENTO                                                                                8110
113      CAVALETE PINTURA                                                                                    7520
114      MOLHA-DEDOS                                                                                         7520
115      PORTA-DISQUETE                                                                                      7520
116      MARCADOR RETROPROJETOR                                                                              7510
117      GABARITO ALFABÉTICO                                                                                 7520
118      TRANSPARÊNCIA RETROPROJETOR                                                                         7510
119      ESTOJO DISQUETE                                                                                     7520
120      GIZ CERA                                                                                            7510
121      CESTO                                                                                               7240
122      TECLADO MICROCOMPUTADOR                                                                             7025
125      PAPEL JORNAL                                                                                        9310
126      PAPEL CÓPIA                                                                                         7510
127      PAPEL A4                                                                                            7510
128      FICHA PAUTADA                                                                                       7510
129      PAPEL COLOR PLUS                                                                                    9310
130      PAPEL SEDA                                                                                          9310
132      PAPEL LUMIPAPER FLUORESCENTE                                                                        9310
133      PAPEL DUPLICOLOR                                                                                    9310
141      BANDEJA EXPEDIENTE                                                                                  7520
143      TINTA OFSETE                                                                                        7045
145      PAPEL CARTÃO                                                                                        9310
146      PAPEL CARTA                                                                                         7540
147      FICHA SEM PAUTA                                                                                     7510
148      GRAMPO PASTA                                                                                        7520
149      FERRAGEM PASTA                                                                                      7520
150      CLASSIFICADOR                                                                                       7510
153      REFIL TINTA                                                                                         7510
154      PARAFUSO ENCADERNAÇÃO                                                                               7520
156      PAPEL IMPRESSÃO GRÁFICA                                                                             7510
157      PAPEL ELETROSSENSIBILIZADO                                                                          9310
158      BLOCO PAUTADO                                                                                       7510
159      CARTÃO                                                                                              9310
160      CARTÃO BRISTOL                                                                                      9310
162      ETIQUETA PASTA SUSPENSA                                                                             7510
164      PAPEL JORNAL PARDO                                                                                  9310
165      PAPEL OFSETE RECICLADO                                                                              9310
166      PAPEL WESTERPRINT TELADO                                                                            9310
167      PAPEL SUPREMO                                                                                       9310
168      PAPEL OFSETE                                                                                        9310
169      PAPEL AUTOCOPIATIVO                                                                                 7510
170      PAPEL OPALINE                                                                                       9310
172      CARTOLINA                                                                                           9310
174      FICHA PADRONIZADA                                                                                   7540
175      GRAMPO TRILHO ENCADERNADOR                                                                          7520
176      LAPISEIRA                                                                                           7510
177      LIMPA-TIPOS                                                                                         7510
180      MARCADOR HIDROGRÁFICO                                                                               7510
184      PROTETOR GUIA PASTA DIVISÓRIA                                                                       7510
185      TINTA NANQUIM                                                                                       8010
186      DIVISÓRIA CLASSIFICADORA                                                                            7520
187      LÂMINA INSERÇÃO PASTA ARQUIVO                                                                       7520
188      PAPEL DEBRÊ                                                                                         9310
189      PAPEL KRAFT                                                                                         9310
190      PAPEL MONOLÚCIDO                                                                                    9310
191      PAPEL MANTEIGA                                                                                      9310
192      PAPEL XEROGRÁFICO                                                                                   7510
194      NUMERADOR                                                                                           7510
195      ALIMENTADOR PAPEL COPIADORA                                                                         7510
196      CADERNO                                                                                             7510
197      DECALQUE                                                                                            7510
198      ESPETO PAPEL                                                                                        7510
199      FITA TELEIMPRESSORA                                                                                 7510
200      LIVRO ATA                                                                                           7540
201      LIVRO PROTOCOLO                                                                                     7540
202      MOLDURA TRANSPARÊNCIA                                                                               7520
203      PENA CANETA                                                                                         7510
204      ROTULADOR                                                                                           7510
205      BORRACHA APAGADORA ESCRITA                                                                          7510
206      APONTADOR MICROCOMPUTADOR                                                                           7025
208      CABO REDE COMPUTADOR                                                                                7045
209      CANETA ÓTICA                                                                                        7025
210      CHAVEADORA                                                                                          7010
211      CILINDRO MÁQUINA IMPRESSORA / COPIADORA                                                             7025
212      CONCENTRADOR                                                                                        7025
213      CONJUNTO MULTIMÍDIA                                                                                 7025
214      CONVERSOR VÍDEO                                                                                     7042
215      DESCARBONADOR                                                                                       7035
216      DISCO MAGNÉTICO                                                                                     7025
217      DISQUETE                                                                                            7025
218      ESTANTE                                                                                             7125
219      FITA IMPRESSORA                                                                                     7045
220      FITA MAGNÉTICA                                                                                      7045
221      FONTE ALIMENTAÇÃO IMPRESSORA                                                                        7025
222      GABINETE                                                                                            7050
223      IMPRESSORA JATO TINTA                                                                               7025
224      IMPRESSORA LASER                                                                                    7025
225      IMPRESSORA MATRICIAL                                                                                7025
226      IMPRESSORA MULTIFUNCIONAL                                                                           7025
227      LEITORA CÓDIGO BARRA                                                                                7025
228      LEITORA DVD                                                                                         7025
229      MODULADOR DEMODULADOR                                                                               5895
230      MONITOR VÍDEO                                                                                       7025
231      PLACA REDE                                                                                          7025
232      PROGRAMA APLICATIVO                                                                                 7030
233      PROTETOR VARIAÇÃO TENSÃO                                                                            7020
234      PLACA COMUNICAÇÃO                                                                                   7025
235      PLACA CONTROLADORA VÍDEO                                                                            7025
236      PLACA FAX MODEM                                                                                     7025
237      ROTEADOR                                                                                            7025
238      SCANNER                                                                                             7025
239      SERVIDOR IMPRESSÃO                                                                                  7025
240      MOUSE PAD                                                                                           7035
241      TELA PROTEÇÃO MONITOR                                                                               7050
242      TORRE CD ROM                                                                                        7025
243      UNIDADE CENTRAL PROCESSAMENTO                                                                       7021
244      UNIDADE DISCO                                                                                       7025
245      CAIXA BIBLIOGRÁFICA                                                                                 7510
246      CARGA LÁPIS BORRACHA                                                                                7510
248      PORTA-ETIQUETA MAGNÉTICA                                                                            7520
249      TESOURA                                                                                             7520
250      SUPORTE PASTA                                                                                       7510
251      CANETA BORRACHA                                                                                     7510
252      ÍNDICE PASTA ARQUIVO                                                                                7510
253      TINTA MIMEÓGRAFO                                                                                    7045
255      TINTA PINCEL MARCADOR                                                                               7510
257      RISQUE RABISQUE                                                                                     7520
259      TINTA PINCEL ATÔMICO                                                                                7510
260      RÉGUA GABARITO                                                                                      7520
261      VISOR                                                                                               7510
263      VERNIZ CORRETOR ESTÊNCIL                                                                            7510
265      ACETATO DE SÓDIO                                                                                    6810
266      ARMAÇÃO PASTA SUSPENSA                                                                              7510
267      PASTA ARGOLA                                                                                        7510
268      PROTETOR E FIXADOR PAPEL                                                                            7510
269      SACO DOCUMENTO                                                                                      7510
270      REFRIGERADOR ALIMENTOS                                                                              4110
271      PAPEL DESENHO                                                                                       7510
272      CANELETA ENCADERNAÇÃO                                                                               7520
275      FICHÁRIO MESA ESCRITÓRIO                                                                            7520
276      PAPEL CORRESPONDÊNCIA                                                                               7540
278      CONJUNTO ALFABETO                                                                                   7520
279      APAGADOR QUADRO BRANCO                                                                              7520
280      CAIXA CORRESPONDÊNCIA                                                                               7520
281      CARTUCHO CANETA TINTEIRO                                                                            7520
282      PINCEL DESENHO                                                                                      7510
284      TINTA IMPRESSORA                                                                                    7045
285      AGENDA ELETRÔNICA                                                                                   5962
286      CALCULADORA ELETRÔNICA                                                                              7420
287      MÁQUINA AUTENTICADORA                                                                               7490
288      COPIADORA                                                                                           7490
289      COPIADORA HELIOGRÁFICA                                                                              7490
290      CONTADORA TIQUETES                                                                                  7490
291      MÁQUINA DE CONTAR DINHEIRO                                                                          7490
292      FRAGMENTADORA PAPEL                                                                                 7490
293      GRAVADOR SOM                                                                                        5835
294      IMPRESSORA CHEQUE                                                                                   7490
295      LÂMINA LIMPEZA MÁQUINA COPIADORA                                                                    3610
296      LEITORA MICROFICHAS                                                                                 7435
297      LEITORA MICROFILME                                                                                  6760
298      MÁQUINA AUTENTICADORA PERFURADORA                                                                   7490
299      MÁQUINA CONTABILIDADE                                                                               7420
300      MÁQUINA CORTAR PAPEL                                                                                7490
301      MÁQUINA ESCREVER                                                                                    7430
302      MÁQUINA PROTOCOLADORA                                                                               7490
303      MÁQUINA FRANQUEADORA                                                                                7490
304      MÁQUINA ESCREVER ELETRÔNICA                                                                         7430
305      MÁQUINA ESCREVER ELETRÔNICA PROFISSIONAL                                                            7430
306      CARIMBO DATADOR                                                                                     7490
307      GOMEIRO MESA                                                                                        7520
308      LETRA MAGNÉTICA                                                                                     7520
309      ARMÁRIO AÇO                                                                                         7125
310      ARQUIVO ESCRITÓRIO                                                                                  7110
311      BANCO DESENHISTA                                                                                    7110
312      BANQUETA                                                                                            7105
313      CADEIRA ESCRITÓRIO                                                                                  7110
314      CADEIRA DESENHISTA                                                                                  7110
315      CAMA                                                                                                7105
316      CAMA BELICHE                                                                                        7105
317      ESCRIVANINHA                                                                                        7110
318      MESA MICROCOMPUTADOR                                                                                7110
319      ARMÁRIO ESTANTE                                                                                     7125
320      ARQUIVO MÓVEL FOLHA FORMATADA                                                                       7110
321      MESA ESCRITÓRIO                                                                                     7110
322      MESA IMPRESSORA MICROCOMPUTADOR                                                                     7110
323      ARMÁRIO COPA/COZINHA                                                                                7105
324      BALCÃO ATENDIMENTO                                                                                  7195
325      CABIDE GUARDA-ROUPA                                                                                 7105
326      MESA MÁQUINA DATILOGRAFIA                                                                           7110
327      ARCA                                                                                                7105
328      ARMÁRIO ESCRITÓRIO                                                                                  7125
329      BIOMBO                                                                                              7105
331      CADEIRA COMUM                                                                                       7105
332      CADEIRA METÁLICA DOBRÁVEL                                                                           7105
333      COFRE                                                                                               7110
334      ESTANTE METÁLICA                                                                                    7125
335      FICHÁRIO                                                                                            7110
336      GAVETEIRO MÓVEL                                                                                     7110
337      ESPELHO                                                                                             7105
338      GUARDA-ROUPA                                                                                        7105
339      MESA APAGADOR                                                                                       7105
340      MESA REUNIÃO OVAL                                                                                   7110
341      MESA REUNIÃO QUADRADA                                                                               7110
342      MESA REUNIÃO REDONDA                                                                                7110
343      POLTRONA AUDITÓRIO DOBRÁVEL COM PRANCHETA                                                           7195
344      QUADRO CARTÃO PONTO                                                                                 7110
345      MESA METÁLICA APOIO                                                                                 7195
346      BLOCO RECADO                                                                                        7540
347      CARTÃO VISITA                                                                                       7540
348      CIMETIDINA                                                                                          6505
349      AMPICILINA                                                                                          6505
350      ALBENDAZOL                                                                                          6505
351      AMINOFILINA                                                                                         6505
353      ÁCIDO ACETILSALICÍLICO                                                                              6505
354      ÁCIDO FÓLICO                                                                                        6505
355      ATROPINA SULFATO                                                                                    6505
356      BENZOATO DE BENZILA                                                                                 6505
358      VILDAGLIPTINA                                                                                       6505
359      ZANAMIVIR                                                                                           6505
360      OXACILINA                                                                                           6505
361      MEDROXIPROGESTERONA ACETATO                                                                         6505
362      HIDROMORFONA                                                                                        6505
363      ACICLOVIR                                                                                           6505
364      PARATIONA METÍLICA                                                                                  6840
365      BENZILPENICILINA                                                                                    6505
366      HALOSULFUROM                                                                                        6840
367      ARMÁRIO BANHEIRO                                                                                    7105
368      REATOR LÂMPADA VAPOR SÓDIO                                                                          6250
369      REATOR LÂMPADA VAPOR MERCÚRIO                                                                       6250
373      COMPRESSA GAZE                                                                                      6510
375      PROTETOR SOLAR                                                                                      6508
376      ARQUIVO DESLIZANTE PEÇAS / ACESSÓRIOS                                                               7195
377      ALAVANCA ODONTOLÓGICA                                                                               6520
379      ESTETOSCÓPIO                                                                                        6515
380      SERINGA DESCARTÁVEL                                                                                 6515
382      ESPÁTULA USO MÉDICO                                                                                 6515
383      ATADURA ELÁSTICA                                                                                    6510
384      CUBA                                                                                                6515
386      AFASTADOR ODONTOLÓGICO                                                                              6520
388      AGULHA ODONTOLÓGICA                                                                                 6520
393      ATADURA GESSADA                                                                                     6510
394      BANDEJA                                                                                             6545
395      BISTURI DESCARTÁVEL                                                                                 6545
398      RECEPTÁCULO LÂMPADA                                                                                 6250
401      MALHA TUBULAR ORTOPÉDICA                                                                            6510
402      TIRA REAGENTE                                                                                       6550
405      APARELHO PRESSÃO ARTERIAL                                                                           6515
406      AVENTAL CIRÚRGICO                                                                                   6532
407      FILME PARA RAIO-X                                                                                   6525
408      FLÚOR                                                                                               6520
411      BRAÇO LUMINÁRIA EXTERNA                                                                             6210
412      LUMINÁRIA ILUMINAÇÃO PÚBLICA                                                                        6210
413      LÂMPADA HALÓGENA                                                                                    6240
414      LÂMPADA LUZ MISTA                                                                                   6240
416      LÂMPADA VAPOR SÓDIO ALTA PRESSÃO                                                                    6240
417      APARELHO ILUMINAÇÃO PORTÁTIL                                                                        6210
418      APARELHO RAIO INFRAVERMELHO                                                                         6530
419      LUVA DE PROTEÇÃO                                                                                    8415
420      MARTELO USO ODONTOLÓGICO                                                                            6520
421      LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO                                                                6532
423      ANDADOR ORTOPÉDICO                                                                                  6530
425      APARELHO ONDAS CURTAS                                                                               6530
427      AVENTAL DESCARTÁVEL USO HOSPITALAR                                                                  6532
429      GORRO DESCARTÁVEL                                                                                   6532
430      LAMPARINA USO ODONTOLÓGICO                                                                          6520
431      LUVA CIRÚRGICA                                                                                      6532
433      MÁSCARA CIRÚRGICA                                                                                   6532
434      OFTALMOSCÓPIO                                                                                       6540
435      TESOURA USO ODONTOLÓGICO                                                                            6520
436      MOLDEIRA ODONTOLÓGICA                                                                               6520
437      TOUCA DESCARTÁVEL USO HOSPITALAR                                                                    6532
438      BANDAGEM ELÁSTICA                                                                                   6510
439      FITA HIPOALERGÊNICA                                                                                 6510
440      ALICATE APARAR UNHA DE CÃO                                                                          6515
442      INCUBADORA HOSPITALAR                                                                               6530
444      CURATIVO HIDROCOLÓIDE                                                                               6510
445      CURATIVO CIRÚRGICO                                                                                  6510
446      CURATIVO TRANSPARENTE                                                                               6510
447      CARRO TRANSPORTE ROUPAS                                                                             6530
449      CARRO TRANSPORTE MATERIAIS                                                                          6530
450      APARELHO FOTOTERAPIA                                                                                6530
452      BALANÇA PEDIÁTRICA                                                                                  6530
454      BERÇO                                                                                               6530
455      BOMBA SUCÇÃO ODONTOLÓGICA                                                                           6520
456      BALIZAMENTO NOTURNO                                                                                 6210
457      PROJETOR ILUMINAÇÃO                                                                                 6210
458      ABAIXADOR LÍNGUA                                                                                    6515
459      BALÃO                                                                                               6515
460      PERÓXIDO DE HIDROGÊNIO (ÁGUA OXIGENADA)                                                             6505
462      AUTOCLAVE                                                                                           6530
465      SUPORTE PARA ENVELOPE USO AUTOCLAVE                                                                 6530
467      ASPIRADOR SECREÇÕES                                                                                 6530
468      CAMPO OPERATÓRIO                                                                                    6510
472      INTERRUPTOR                                                                                         5930
473      INTERRUPTOR DIFERENCIAL RESIDUAL                                                                    5930
474      LUMINOL                                                                                             6810
475      MERCAPTOETANOL                                                                                      6810
476      CONECTOR ADAPTAÇÃO TERMINAL                                                                         5935
477      CONECTOR ATERRAMENTO                                                                                5935
478      CONECTOR PARALELO                                                                                   5935
479      CONECTOR SUPORTE                                                                                    5935
480      PLUGUE                                                                                              5935
481      PLUGUE BLINDADO                                                                                     5935
482      RELÓGIO                                                                                             6645
